,Phrase,Count,PMI
2448,"('a', 'young')",156,4.302174413362572
4011,"('consider', 'the')",155,3.144949601148312
2719,"('will', 'be')",155,4.081199388921615
476,"('i', 'am')",154,7.697154579742737
5079,"('in', 'my')",154,2.5150928758935542
740,"('each', 'other')",154,6.784168913854401
692,"('around', 'us')",154,6.9098054131901385
3922,"('it', 'was')",153,3.1960653045752636
6016,"('up', 'to')",153,1.9689039217785975
8005,"('and', 'have')",152,0.03492372739774652
3960,"('to', 'focus')",151,3.169256681314131
4612,"('example', 'of')",151,2.791182994340616
1755,"('be', 'used')",151,5.032649789771707
2679,"('to', 'remember')",150,4.107203212590797
472,"('those', 'around')",149,7.705237694235947
3663,"('on', 'one')",149,3.3756668272041637
4310,"('make', 'it')",148,2.9623783427640618
2241,"('instead', 'of')",148,4.488855270589237
1236,"('my', 'own')",147,5.721748341326766
3287,"('the', 'amount')",147,3.6483890518841733
7835,"('to', 'our')",147,0.32367834167938625
3210,"('attitude', 'is')",146,3.7051327545758745
3143,"('failure', 'is')",146,3.759981231571494
6108,"('can', 'not')",145,1.9194632471391024
1407,"('learn', 'from')",144,5.468440599642378
1593,"('become', 'more')",144,5.226039868385733
3115,"('when', 'i')",144,3.7823597593306175
8183,"('and', 'their')",144,-0.36788182991806906
6391,"('potential', 'to')",144,1.7263814286498693
8091,"('have', 'to')",143,-0.14307390584125557
1613,"('combination', 'of')",143,5.197384644776427
2942,"('the', 'power')",143,3.899220008224024
2632,"('a', 'significant')",143,4.148719529716274
6295,"('of', 'success')",143,1.7935862204480806
3620,"(',', 'such')",143,3.401920888584307
6898,"('in', 'this')",142,1.3163942043034744
4821,"('making', 'a')",142,2.665401792560786
5133,"('time', 'for')",141,2.484432944735712
155,"('academic', 'performance')",141,9.433830378649805
2720,"('chance', 'to')",141,4.081129700980906
5965,"('of', 'my')",141,1.999628399677139
4290,"('for', 'success')",141,2.9752081659943883
344,"('four', 'day')",140,8.235834964915508
4510,"('used', 'to')",140,2.851548337122601
2162,"('it', 'allows')",140,4.572191707435877
1640,"('people', 'who')",140,5.161963171207063
4797,"('of', 'technology')",140,2.680332458043754
1419,"('participate', 'in')",140,5.452266038438115
908,"('benefit', 'from')",140,6.343694496351915
7396,"('of', 'this')",140,0.9077008138234461
6651,"('take', 'the')",140,1.5209295384988764
6359,"('to', 'provide')",140,1.7489332706397143
923,"('over', 'time')",140,6.315258456611556
798,"('more', 'likely')",139,6.6285345152498465
3635,"('to', 'build')",139,3.39415849871968
4213,"('the', 'process')",139,3.0255083625891324
2209,"('to', 'note')",139,4.52174655360453
3108,"('to', 'complete')",139,3.786758608878767
2858,"('trying', 'to')",139,3.970104126083399
1997,"('role', 'in')",139,4.735946192534133
4819,"('a', 'new')",138,2.666292307941486
3887,"('they', 'have')",138,3.214834360843362
4004,"('are', 'also')",138,3.1477096422578796
1112,"(',', 'including')",137,5.950544507781466
551,"('great', 'way')",137,7.403396251817448
6273,"('to', 'better')",137,1.8049657493821734
4186,"('advantages', 'and')",137,3.042511319674883
4661,"('are', 'more')",137,2.7585119818476187
6597,"('has', 'a')",136,1.5638135159996196
8200,"('students', 'the')",136,-0.42306998981500854
4837,"('important', 'for')",136,2.656582636224968
912,"('note', 'that')",136,6.331260899532538
145,"('mental', 'health')",135,9.523504609123979
6127,"('was', 'a')",134,1.9040870627174051
1321,"('their', 'studies')",134,5.581527583284995
2890,"('a', 'four')",134,3.9398147671919297
656,"('away', 'from')",133,7.021346952401881
4006,"('understand', 'the')",133,3.1470645978337224
5074,"('it', 'may')",133,2.516711213962896
1302,"('if', 'you')",133,5.60786864256762
2407,"('essential', 'for')",132,4.345670942381712
1961,"('help', 'them')",132,4.798796458729544
4939,"('that', 'you')",132,2.5930830885709035
1701,"('relationships', 'with')",132,5.08789570963269
2763,"('the', 'end')",132,4.04801609327124
714,"('does', 'not')",132,6.856467228838792
3310,"('a', 'negative')",131,3.632809941902508
6482,"('i', 'can')",131,1.6595622195144024
5016,"('that', 'may')",131,2.548927767667891
913,"('effect', 'on')",131,6.327886568324221
1132,"('after', 'school')",131,5.904659054321208
8358,"('be', 'the')",131,-0.9140293968841533
1002,"('shown', 'that')",130,6.143107474906312
2860,"('who', 'have')",130,3.9684368598291293
838,"('own', 'decisions')",130,6.518983824527904
4197,"('helps', 'to')",130,3.037569024753747
5161,"('the', 'decision')",129,2.470103828691286
1233,"('remember', 'that')",129,5.730604354919347
1619,"('must', 'be')",129,5.192021248189032
5572,"('it', 'also')",129,2.2283825561598327
2418,"('level', 'of')",129,4.331271144880887
2499,"('beneficial', 'for')",129,4.262836693631826
113,"('young', 'age')",129,9.85098722855544
1842,"('are', 'able')",128,4.934789973541715
7880,"('and', 'i')",127,0.25234945184910984
2725,"('up', 'with')",126,4.0733582080512925
674,"('school', 'week')",126,6.9644574559894785
1333,"('person', 's')",126,5.572975772091031
1914,"('but', 'also')",126,4.8530660413053255
969,"('from', 'home')",126,6.228012916718889
976,"('known', 'as')",126,6.213462877750821
5033,"('in', 'many')",126,2.540041998526558
2562,"('their', 'goals')",126,4.207626989620149
2486,"('also', 'help')",126,4.270597396072727
2539,"('the', 'states')",125,4.229469097877377
8241,"('to', 'students')",125,-0.5556533227421383
648,"('achieving', 'success')",125,7.046661670655748
2596,"('and', 'disadvantages')",125,4.180750230913933
4166,"('in', 'person')",125,3.05418934637067
1722,"('should', 'not')",125,5.062108285885916
6253,"('through', 'the')",125,1.8211262511725401
5578,"('the', 'individual')",124,2.2245757761761737
1527,"('in', 'terms')",124,5.304486677875762
7267,"('success', 'and')",124,1.0138008619312089
2490,"('want', 'to')",123,4.268358004405382
1859,"('terms', 'of')",123,4.904575584907818
4270,"('had', 'a')",123,2.9877618684500433
7147,"('positive', 'and')",123,1.1202670140412465
2052,"('advantage', 'of')",123,4.667814873283131
6245,"('and', 'how')",123,1.8290463928443152
5475,"('all', 'of')",122,2.2790265452493372
2694,"('is', 'no')",121,4.099453098203348
4438,"('and', 'develop')",121,2.8975311601647746
3700,"('you', 'have')",121,3.353951291495701
4049,"('it', 'could')",121,3.129737748635847
5918,"('the', 'benefits')",121,2.024546216423392
1287,"('your', 'own')",121,5.6354201911163955
3846,"('help', 'students')",120,3.248531749772969
6674,"('activities', 'and')",120,1.501999250693025
5388,"('of', 'being')",119,2.3281323517219086
